lot_id,jour_age,mortalite_jour,aliment_kg,eau_litres,poids_moyen_g,temperature,symptome_sanitaire
LOT-0001,1,2,7.11,12.27,139.5,28.9,0
LOT-0001,2,1,5.26,9.97,164.8,30.2,0
LOT-0001,3,1,6.85,11.66,193.9,29.4,0
LOT-0001,4,1,5.59,9.66,164.9,28.4,0
LOT-0001,5,2,6.77,12.99,158.5,29.5,0
LOT-0001,6,0,6.28,12.3,233.7,30.3,0
LOT-0001,7,0,5.27,9.42,292.1,28.4,0
LOT-0001,8,0,17.13,31.02,314.5,28.8,0
LOT-0001,9,0,19.34,36.41,357.2,28.7,0
LOT-0001,10,0,19.28,36.0,408.4,30.7,0
LOT-0001,11,1,16.02,27.39,402.4,28.8,0
LOT-0001,12,1,16.63,31.54,468.6,29.6,0
LOT-0001,13,1,16.19,28.72,475.3,30.3,0
LOT-0001,14,1,15.79,31.57,531.6,30.0,0
LOT-0001,15,0,14.95,28.23,593.7,28.3,0
LOT-0001,16,0,18.17,36.18,612.0,31.4,0
LOT-0001,17,0,19.35,36.01,685.9,28.4,0
LOT-0001,18,0,21.44,42.08,779.6,29.1,0
LOT-0001,19,0,21.12,41.42,789.2,30.4,0
LOT-0001,20,0,18.25,35.29,891.0,30.1,0
LOT-0001,21,0,14.25,28.2,949.0,29.2,0
LOT-0001,22,0,36.7,63.33,940.6,29.9,0
LOT-0001,23,0,35.08,60.99,1000.3,29.1,0
LOT-0001,24,1,30.01,55.87,1094.3,30.9,0
LOT-0001,25,0,37.01,70.13,1118.6,28.5,0
LOT-0001,26,0,33.38,59.05,1213.8,28.9,0
LOT-0001,27,0,30.16,59.46,1262.8,29.0,0
LOT-0001,28,0,29.3,58.03,1301.8,30.3,0
LOT-0001,29,0,35.34,62.1,1381.3,29.7,0
LOT-0001,30,0,34.14,68.12,1422.7,28.4,0
LOT-0001,31,0,35.82,63.57,1463.0,29.7,0
LOT-0001,32,0,36.37,66.66,1521.2,31.4,0
