lot_id,type_lot,date_entree,effectif_initial,prix_achat_unitaire,duree_prevue
LOT-0001,chair,2025-10-16,314,356,46
LOT-0002,chair,2025-10-11,470,479,45
LOT-0003,chair,2025-06-29,638,519,45
LOT-0004,chair,2024-05-27,619,517,44
LOT-0005,chair,2024-02-22,494,503,45
LOT-0006,chair,2024-05-20,239,423,45
LOT-0007,chair,2025-01-30,716,465,46
LOT-0008,chair,2024-01-24,505,468,46
LOT-0009,chair,2024-06-22,342,418,45
LOT-0010,chair,2024-06-10,651,466,44
LOT-0011,chair,2024-12-30,605,481,44
LOT-0012,chair,2025-05-29,784,482,46
LOT-0013,chair,2024-02-08,584,513,45
LOT-0014,chair,2025-07-29,429,540,46
LOT-0015,chair,2025-01-09,801,517,44
LOT-0016,chair,2024-08-15,968,497,44
LOT-0017,chair,2024-03-02,564,515,44
LOT-0018,chair,2025-11-06,568,377,44
LOT-0019,chair,2024-07-03,824,409,46
LOT-0020,chair,2025-12-30,713,418,45
LOT-0021,chair,2024-07-26,636,436,46
LOT-0022,chair,2024-06-06,365,410,44
LOT-0023,chair,2025-03-30,431,491,45
LOT-0024,chair,2025-09-12,235,539,46
LOT-0025,chair,2025-03-11,622,374,45
LOT-0026,chair,2024-01-06,664,436,44
LOT-0027,chair,2025-01-06,237,421,45
LOT-0028,chair,2025-05-24,524,419,45
LOT-0029,chair,2025-12-05,525,520,45
LOT-0030,chair,2024-11-30,592,546,45
LOT-0031,chair,2025-05-16,297,485,45
LOT-0032,chair,2025-03-05,736,478,44
LOT-0033,chair,2025-10-19,232,504,44
LOT-0034,chair,2025-07-11,302,512,45
LOT-0035,chair,2024-05-21,797,467,44
LOT-0036,chair,2025-09-21,509,412,46
LOT-0037,chair,2024-08-13,654,532,45
LOT-0038,chair,2025-08-25,486,547,44
LOT-0039,chair,2024-01-06,474,526,44
LOT-0040,chair,2025-12-20,644,438,46
LOT-0041,chair,2024-03-21,846,474,46
LOT-0042,chair,2025-03-29,550,513,46
LOT-0043,chair,2025-07-03,650,384,46
LOT-0044,chair,2025-10-19,773,425,46
LOT-0045,chair,2024-10-24,204,411,46
LOT-0046,chair,2024-01-17,836,501,45
LOT-0047,chair,2025-06-20,716,422,44
LOT-0048,chair,2024-07-29,909,451,44
LOT-0049,chair,2024-10-22,808,481,44
LOT-0050,chair,2024-01-17,420,461,46
LOT-0051,chair,2025-06-09,818,476,45
LOT-0052,chair,2024-03-01,640,404,46
LOT-0053,chair,2025-12-16,851,372,46
LOT-0054,chair,2024-10-28,333,483,46
LOT-0055,chair,2024-06-17,894,376,44
LOT-0056,chair,2024-03-29,572,403,45
LOT-0057,chair,2024-12-23,900,403,46
LOT-0058,chair,2024-01-21,966,517,45
LOT-0059,chair,2024-03-22,653,419,45
LOT-0060,chair,2024-01-16,857,525,46
LOT-0061,chair,2025-05-08,267,365,45
LOT-0062,chair,2025-04-15,750,415,44
LOT-0063,chair,2025-05-19,808,525,46
LOT-0064,chair,2024-06-05,345,391,46
LOT-0065,chair,2024-10-11,780,460,45
LOT-0066,chair,2024-11-20,624,409,45
LOT-0067,chair,2025-10-05,851,352,45
LOT-0068,chair,2025-12-09,513,454,45
LOT-0069,chair,2024-02-15,628,476,45
LOT-0070,chair,2025-02-17,784,538,46
LOT-0071,chair,2024-11-10,254,428,46
LOT-0072,chair,2025-04-17,364,408,46
LOT-0073,chair,2025-08-29,636,383,44
LOT-0074,chair,2025-05-23,372,406,45
LOT-0075,chair,2024-06-02,741,392,46
LOT-0076,chair,2025-08-12,980,519,44
LOT-0077,chair,2024-08-28,618,376,45
LOT-0078,chair,2025-08-28,743,530,45
LOT-0079,chair,2025-07-09,842,513,45
LOT-0080,chair,2025-04-15,326,503,46
LOT-0081,chair,2024-10-04,983,450,45
LOT-0082,chair,2024-03-17,202,385,46
LOT-0083,chair,2024-06-09,814,385,44
LOT-0084,chair,2024-02-20,937,523,46
LOT-0085,chair,2024-06-04,629,352,44
LOT-0086,chair,2024-05-19,467,394,45
LOT-0087,chair,2024-08-18,286,359,46
LOT-0088,chair,2024-01-10,643,369,45
LOT-0089,chair,2025-09-18,460,537,44
LOT-0090,chair,2024-09-26,551,412,46
LOT-0091,chair,2025-05-23,786,531,44
LOT-0092,chair,2025-03-23,696,418,46
LOT-0093,chair,2025-01-08,774,389,45
LOT-0094,chair,2025-04-07,541,543,45
LOT-0095,chair,2025-06-28,550,478,46
LOT-0096,chair,2025-01-15,581,372,44
LOT-0097,chair,2025-10-06,369,547,46
LOT-0098,chair,2025-09-19,392,444,45
LOT-0099,chair,2024-08-02,844,451,45
LOT-0100,chair,2024-12-17,491,517,44
LOT-0101,chair,2024-08-10,663,490,45
