lot_id,effectif_initial,mortalite_cumulee_j14,taux_mortalite_j14,aliment_cumule_j14,poids_moyen_j14,depenses_cumulees_j14,temperature_moyenne_j14,symptomes_detectes_j14,target_lot_a_risque
LOT-0001,314,11,0.035,163.51,531.6,137946.0,29.428571428571427,0,0
LOT-0002,470,14,0.0298,246.29,532.4,264536.0,30.02857142857143,0,1
LOT-0003,638,24,0.0376,325.48,493.2,383199.0,29.74285714285714,0,1
LOT-0004,619,24,0.0388,287.01,510.2,365945.0,29.87857142857143,0,1
LOT-0005,494,21,0.0425,246.79,531.0,287968.0,29.792857142857144,0,1
LOT-0006,239,7,0.0293,143.27,624.2,124020.0,29.400000000000002,0,1
LOT-0007,716,25,0.0349,397.84,509.8,396594.0,30.150000000000002,0,1
LOT-0008,505,14,0.0277,315.56,606.6,286830.0,30.014285714285712,0,1
LOT-0009,342,11,0.0322,177.31,485.5,171326.0,30.57857142857143,0,1
LOT-0010,651,23,0.0353,451.15,722.3,375550.0,29.635714285714283,0,1
LOT-0011,605,19,0.0314,400.03,646.1,355010.0,30.214285714285715,0,0
LOT-0012,784,28,0.0357,484.74,659.2,455446.0,29.957142857142856,0,1
LOT-0013,584,20,0.0342,358.65,639.1,356976.0,30.357142857142858,0,1
LOT-0014,429,16,0.0373,257.56,572.4,272870.0,30.235714285714288,0,1
LOT-0015,801,28,0.035,462.17,545.7,488064.0,30.02857142857143,0,1
LOT-0016,968,37,0.0382,459.08,503.6,554549.0,30.021428571428572,0,1
LOT-0017,564,17,0.0301,351.08,588.9,346633.0,29.928571428571427,0,0
LOT-0018,568,13,0.0229,323.47,556.0,265891.0,30.185714285714287,0,0
LOT-0019,824,30,0.0364,450.32,561.1,409067.0,29.392857142857142,0,1
LOT-0020,713,24,0.0337,485.56,712.6,375724.0,30.235714285714288,0,1
LOT-0021,636,27,0.0425,399.31,640.7,341186.0,30.3,0,1
LOT-0022,365,11,0.0301,176.98,437.2,177967.0,29.857142857142858,0,0
LOT-0023,431,14,0.0325,231.82999999999998,530.4,248714.0,29.964285714285715,0,1
LOT-0024,235,8,0.034,160.6,616.8,152361.0,30.314285714285713,0,0
LOT-0025,622,18,0.0289,386.39,606.9,294450.0,29.914285714285715,0,0
LOT-0026,664,20,0.0301,439.14,659.3,359766.0,29.964285714285715,0,0
LOT-0027,237,4,0.0169,158.13,684.5,125078.0,30.2,0,0
LOT-0028,524,18,0.0344,249.07,472.0,259407.0,30.092857142857145,0,1
LOT-0029,525,16,0.0305,255.2,495.8,313832.0,30.235714285714288,0,1
LOT-0030,592,25,0.0422,338.13,543.0,377333.0,29.857142857142858,0,1
LOT-0031,297,7,0.0236,196.03,649.7,175410.0,30.821428571428573,0,0
LOT-0032,736,27,0.0367,383.68,495.3,413197.0,29.900000000000002,0,1
LOT-0033,232,7,0.0302,142.84,554.5,139782.0,30.22142857142857,0,0
LOT-0034,302,13,0.043,169.96,606.0,181818.0,30.157142857142855,0,1
LOT-0035,797,27,0.0339,405.24,522.8,437037.0,29.614285714285717,0,1
LOT-0036,509,16,0.0314,297.19,576.9,257258.0,30.321428571428573,0,1
LOT-0037,654,20,0.0306,433.36,660.2,417266.0,29.92142857142857,0,1
LOT-0038,486,18,0.037,244.87,499.5,305021.0,30.435714285714287,0,1
LOT-0039,474,17,0.0359,298.03,636.6,297009.0,29.75,0,1
LOT-0040,644,21,0.0326,420.57,668.8,349363.0,29.914285714285715,0,1
LOT-0041,846,32,0.0378,566.58,748.9,491657.0,29.914285714285715,0,1
LOT-0042,550,22,0.04,304.96,575.5,330944.0,30.150000000000002,0,1
LOT-0043,650,24,0.0369,415.23,646.9,316037.0,30.142857142857142,0,1
LOT-0044,773,32,0.0414,473.35,609.0,404261.0,29.985714285714288,0,1
LOT-0045,204,7,0.0343,137.43,641.7,105833.0,29.87857142857143,0,0
LOT-0046,836,32,0.0383,576.8,682.9,511124.0,30.114285714285717,0,1
LOT-0047,716,29,0.0405,463.37,696.1,376291.0,29.678571428571427,0,1
