lot_id,effectif_final,mortalite_totale_pct,poids_final_moyen_g,cout_total_fcfa,revenu_total_fcfa,marge_finale_fcfa,lot_a_risque
LOT-0001,294,6.37,1792.4,361811.0,474743.0,112932.0,0
LOT-0002,430,8.51,1794.3,591575.0,663738.0,72163.0,1
LOT-0003,582,8.78,1727.4,797544.0,858402.0,60858.0,1
LOT-0004,562,9.21,1675.8,757276.0,900110.0,142834.0,1
LOT-0005,450,8.91,1945.4,640468.0,917315.0,276847.0,1
LOT-0006,218,8.79,2157.7,305379.0,433760.0,128381.0,1
LOT-0007,651,9.08,1820.1,885473.0,1008181.0,122708.0,1
LOT-0008,463,8.32,2178.4,699229.0,1030112.0,330883.0,1
LOT-0009,307,10.23,1826.1,402103.0,478803.0,76700.0,1
LOT-0010,597,8.29,2341.5,895354.0,1436722.0,541368.0,1
LOT-0011,558,7.77,2139.9,817320.0,1228186.0,410866.0,0
LOT-0012,721,8.04,2146.4,1083273.0,1567108.0,483835.0,1
LOT-0013,534,8.56,2193.4,834340.0,1193391.0,359051.0,1
LOT-0014,391,8.86,2058.4,598146.0,815634.0,217488.0,1
LOT-0015,735,8.24,2002.2,1089870.0,1353986.0,264116.0,1
LOT-0016,888,8.26,1656.0,1154546.0,1479767.0,325221.0,1
LOT-0017,521,7.62,2155.0,770211.0,1193512.0,423301.0,0
LOT-0018,525,7.57,1851.3,636447.0,947085.0,310638.0,0
LOT-0019,741,10.07,1835.5,965603.0,1404620.0,439017.0,1
LOT-0020,654,8.27,2328.9,973163.0,1318666.0,345503.0,1
LOT-0021,574,9.75,2135.6,852418.0,1246170.0,393752.0,1
LOT-0022,341,6.58,1635.2,396304.0,517457.0,121153.0,0
LOT-0023,395,8.35,1866.3,549146.0,630494.0,81348.0,1
LOT-0024,219,6.81,2252.8,349776.0,432634.0,82858.0,0
LOT-0025,576,7.4,2117.9,755938.0,1127795.0,371857.0,0
LOT-0026,612,7.83,2199.2,866684.0,1310179.0,443495.0,0
LOT-0027,225,5.06,2314.9,319870.0,495976.0,176106.0,0
LOT-0028,481,8.21,1597.6,563390.0,686862.0,123472.0,1
LOT-0029,454,13.52,1697.9,650539.0,686099.0,35560.0,1
LOT-0030,536,9.46,1803.0,761859.0,1019885.0,258026.0,1
LOT-0031,279,6.06,2203.8,416298.0,533039.0,116741.0,0
LOT-0032,676,8.15,1759.1,864548.0,1028616.0,164068.0,1
LOT-0033,214,7.76,1965.9,305220.0,436661.0,131441.0,0
LOT-0034,277,8.28,2000.1,397993.0,567693.0,169700.0,1
LOT-0035,733,8.03,1736.5,922590.0,1322450.0,399860.0,1
LOT-0036,443,12.97,2039.4,644785.0,970680.0,325895.0,1
LOT-0037,599,8.41,2305.6,965925.0,1349521.0,383596.0,1
LOT-0038,444,8.64,1748.9,625053.0,776265.0,151212.0,1
LOT-0039,430,9.28,2206.6,669222.0,856484.0,187262.0,1
LOT-0040,585,9.16,2273.7,861165.0,1414009.0,552844.0,1
LOT-0041,747,11.7,2368.2,1234058.0,1545512.0,311454.0,1
LOT-0042,486,11.64,2041.5,758413.0,1055703.0,297290.0,1
LOT-0043,579,10.92,2252.3,830854.0,1273475.0,442621.0,1
LOT-0044,700,9.44,2018.9,988302.0,1444812.0,456510.0,1
LOT-0045,191,6.37,2251.5,279893.0,451465.0,171572.0,0
LOT-0046,761,8.97,2403.4,1202000.0,1959198.0,757198.0,1
LOT-0047,652,8.94,2185.0,935015.0,1415250.0,480235.0,1
LOT-0048,828,8.91,2193.7,1200354.0,1667100.0,466746.0,1
LOT-0049,737,8.79,1824.6,975244.0,1209821.0,234577.0,1
LOT-0050,387,7.86,2247.8,578389.0,769934.0,191545.0,0
LOT-0051,748,8.56,2286.7,1148452.0,1688029.0,539577.0,1
LOT-0052,569,11.09,2139.9,808185.0,1275448.0,467263.0,1
LOT-0053,790,7.17,1733.7,952709.0,1402294.0,449585.0,0
LOT-0054,304,8.71,1988.7,432060.0,664433.0,232373.0,1
LOT-0055,803,10.18,2084.5,1042143.0,1754806.0,712663.0,1
LOT-0056,519,9.27,1903.5,663603.0,980241.0,316638.0,1
LOT-0057,821,8.78,2229.0,1155133.0,1670943.0,515810.0,1
LOT-0058,882,8.7,2055.7,1338508.0,1585080.0,246572.0,1
LOT-0059,595,8.88,2044.8,813479.0,1202199.0,388720.0,1
LOT-0060,788,8.05,2164.5,1280199.0,1608892.0,328693.0,1
LOT-0061,253,5.24,2337.0,350735.0,544828.0,194093.0,0
LOT-0062,694,7.47,1988.2,944128.0,1186393.0,242265.0,0
LOT-0063,741,8.29,1704.0,1038320.0,1383296.0,344976.0,1
LOT-0064,316,8.41,2053.8,418798.0,558613.0,139815.0,1
LOT-0065,695,10.9,1882.8,981215.0,1307804.0,326589.0,1
LOT-0066,570,8.65,1774.7,720006.0,1029576.0,309570.0,1
LOT-0067,781,8.23,2166.2,1040015.0,1489728.0,449713.0,1
LOT-0068,475,7.41,2271.3,687191.0,1028096.0,340905.0,0
LOT-0069,573,8.76,1806.8,777147.0,891290.0,114143.0,1
LOT-0070,717,8.55,2211.3,1167632.0,1669413.0,501781.0,1
LOT-0071,237,6.69,1980.5,329368.0,494267.0,164899.0,0
LOT-0072,328,9.89,1926.9,433434.0,682449.0,249015.0,1
LOT-0073,545,14.31,2235.8,774074.0,1117167.0,343093.0,1
LOT-0074,343,7.8,1897.4,426106.0,579111.0,153005.0,0
LOT-0075,677,8.64,2356.5,999794.0,1390412.0,390618.0,1
LOT-0076,876,10.61,2334.1,1412086.0,1932156.0,520070.0,1
LOT-0077,571,7.61,2254.5,785141.0,1156370.0,371229.0,0
LOT-0078,673,9.42,2327.0,1088604.0,1653740.0,565136.0,1
LOT-0079,764,9.26,1660.1,1005258.0,1197643.0,192385.0,1
LOT-0080,302,7.36,1900.1,434608.0,630127.0,195519.0,0
LOT-0081,903,8.14,2146.1,1306772.0,1798343.0,491571.0,1
LOT-0082,191,5.45,1916.2,235352.0,338132.0,102780.0,0
LOT-0083,726,10.81,1577.1,827434.0,1244916.0,417482.0,1
LOT-0084,855,8.75,1833.5,1224698.0,1488071.0,263373.0,1
LOT-0085,555,11.76,2020.3,706295.0,1007897.0,301602.0,1
LOT-0086,423,9.42,2125.3,584908.0,902381.0,317473.0,1
LOT-0087,255,10.84,2105.0,346582.0,545217.0,198635.0,1
LOT-0088,586,8.86,1811.0,700956.0,1017783.0,316827.0,1
LOT-0089,425,7.61,1999.6,617714.0,880608.0,262894.0,0
LOT-0090,502,8.89,2410.8,776483.0,1219730.0,443247.0,1
LOT-0091,707,10.05,2158.7,1093528.0,1531945.0,438417.0,1
LOT-0092,633,9.05,2302.2,930714.0,1467818.0,537104.0,1
LOT-0093,703,9.17,2248.0,995150.0,1509307.0,514157.0,1
LOT-0094,499,7.76,2301.3,790440.0,1188979.0,398539.0,0
LOT-0095,504,8.36,1690.4,655921.0,856360.0,200439.0,1
LOT-0096,528,9.12,1796.8,624232.0,928926.0,304694.0,1
